"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","cli-kintone import command","44","0","","0"
"0","","0","cli-kintone delete command","32","0","","0"
"0","","0","cli-kintone export command","34","0","","0"
"0","","0","common","17","0","","0"
"0","Unit tests","0","","247","0","","0"
"0","","0","","0","2","","0"
