"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","266","0","","0"
"0","","0","record import","44","0","","0"
"0","","1","record delete","31","0","","0"
"0","","1","customize apply","4","0","","0"
"0","","0","record export","34","0","","0"
"0","","2","record common","15","0","","0"
"0","","0","customize export","6","0","","0"
"0","","0","plugin upload","4","0","","0"
"0","","0","plugin keygen","1","0","","0"
"0","","0","plugin pack","3","0","","0"
"0","","0","customize init","4","0","","0"
"0","","0","plugin info","2","0","","0"
