"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","265","0","","0"
"0","","1","record export","33","0","","0"
"0","","0","record import","44","0","","0"
"0","","2","record common","15","0","","0"
"0","","0","customize export","6","0","","0"
"0","","2","record delete","30","0","","0"
"0","","0","customize init","4","0","","0"
"0","","0","plugin pack","3","0","","0"
"0","","0","customize apply","5","0","","0"
"0","","0","plugin upload","4","0","","0"
"0","","0","plugin info","2","0","","0"
"0","","0","plugin keygen","1","0","","0"
