"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","5","convertFieldValue","","","","","[1] convert CREATED_TIME field correctly",""
"passed","Tue Jul 23 02:55:18 GMT 2024","Tue Jul 23 02:55:18 GMT 2024","110","","CliKintoneTest-134 Should return the error message when authorizing with username/password.","","","","CliKintoneTest-134 Should return the error message when authorizing with username/password.",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","6","withNextIterator","","","","","can iterate from data source with next value",""
"passed","Tue Jul 23 02:54:34 GMT 2024","Tue Jul 23 02:54:34 GMT 2024","4","api","","","","","should prioritize username and password over apiToken",""
"passed","Tue Jul 23 02:54:38 GMT 2024","Tue Jul 23 02:54:38 GMT 2024","12","hasAppCode","","","","","should throw with invalid error (input: Hoge-123, appCode: App)",""
"passed","Tue Jul 23 02:54:56 GMT 2024","Tue Jul 23 02:55:01 GMT 2024","4299","","CliKintoneTest-21 Should import records to app in space successfully.","","","","CliKintoneTest-21 Should import records to app in space successfully.",""
"passed","Tue Jul 23 02:54:34 GMT 2024","Tue Jul 23 02:54:34 GMT 2024","9","addRecords","","","","","should upload files correctly when attachmentsDir is given",""
"passed","Tue Jul 23 02:56:50 GMT 2024","Tue Jul 23 02:56:56 GMT 2024","5603","","CliKintoneTest-169 Should not delete the records when specifying other than Y, n in the confirmation prompt.","","","","CliKintoneTest-169 Should not delete the records when specifying other than Y, n in the confirmation prompt.",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","7","Record command","Valid parameters","","","","should return the import query correctly",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","11","convertFieldValue","","","","","[15] convert MODIFIER field correctly",""
"passed","Tue Jul 23 02:55:52 GMT 2024","Tue Jul 23 02:56:05 GMT 2024","12342","","CliKintoneTest-38 Should import the records successfully with multiple attachments on different fields in a record.","","","","CliKintoneTest-38 Should import the records successfully with multiple attachments on different fields in a record.",""
"passed","Tue Jul 23 02:56:38 GMT 2024","Tue Jul 23 02:56:39 GMT 2024","1223","","CliKintoneTest-102 Should return the error message when exporting records with --fields specified, including existent and non-existent field codes.","","","","CliKintoneTest-102 Should return the error message when exporting records with --fields specified, including existent and non-existent field codes.",""
"passed","Tue Jul 23 02:57:42 GMT 2024","Tue Jul 23 02:57:46 GMT 2024","4376","","CliKintoneTest-63 Should import the records successfully with --encoding option is sjis.","","","","CliKintoneTest-63 Should import the records successfully with --encoding option is sjis.",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","10","convertFieldValue","","","","","[18] convert TIME field correctly",""
"passed","Tue Jul 23 02:54:36 GMT 2024","Tue Jul 23 02:54:36 GMT 2024","9","csvStringifier","","","","","should convert kintone records to csv string correctly when FILE included and with attachmentsDir option",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","10","convertFieldValue","","","","","[21] convert DATETIME field correctly",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","10","Helper functions","compareBuffers","","","","should return TRUE if two buffers are the same",""
"passed","Tue Jul 23 02:54:34 GMT 2024","Tue Jul 23 02:54:34 GMT 2024","6","addRecords","","","","","should includes a Record Number field",""
"passed","Tue Jul 23 02:56:11 GMT 2024","Tue Jul 23 02:56:15 GMT 2024","4437","","CliKintoneTest-96 Should return the error message when exporting the record with invalid condition query.","","","","CliKintoneTest-96 Should return the error message when exporting the record with invalid condition query.",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","6","convertFieldValue","","","","","[4] convert NUMBER field correctly",""
"passed","Tue Jul 23 02:55:07 GMT 2024","Tue Jul 23 02:55:09 GMT 2024","1710","","CliKintoneTest-83 Should return the error message when exporting the record with a non-relevant API Token.","","","","CliKintoneTest-83 Should return the error message when exporting the record with a non-relevant API Token.",""
"passed","Tue Jul 23 02:56:56 GMT 2024","Tue Jul 23 02:57:02 GMT 2024","6429","","CliKintoneTest-170 Should not delete the records when pressing Enter (without a specific answer) in the confirmation prompt.","","","","CliKintoneTest-170 Should not delete the records when pressing Enter (without a specific answer) in the confirmation prompt.",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","10","upsertRecords","","","","","should upsert records correctly with record number on kintone has app code",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","7","Record command","Missing required parameters","","","","should throw error when missing required argument",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","24","upsertRecords","","","","","should throw error because the record number is invalid",""
"passed","Tue Jul 23 02:54:36 GMT 2024","Tue Jul 23 02:54:36 GMT 2024","4","userSelected","","","","","should throw an Error if specified field is in a Table field",""
"passed","Tue Jul 23 02:56:39 GMT 2024","Tue Jul 23 02:56:40 GMT 2024","1199","","CliKintoneTest-103 Should return the error message when exporting records with --fields specified, including fields within a table.","","","","CliKintoneTest-103 Should return the error message when exporting records with --fields specified, including fields within a table.",""
"passed","Tue Jul 23 02:54:38 GMT 2024","Tue Jul 23 02:54:38 GMT 2024","11","hasAppCode","","","","","should throw with invalid error (input: App-123, appCode: )",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","6","StandardLogger","","","","","should display DEBUG message when calling logger with ""debug"" level",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","2","Helper functions","generateCsvRow","","","","should generate CSV row correctly",""
"passed","Tue Jul 23 02:57:19 GMT 2024","Tue Jul 23 02:57:24 GMT 2024","4431","","CliKintoneTest-52 Should import the records successfully with --fields specified multiple existent field codes.","","","","CliKintoneTest-52 Should import the records successfully with --fields specified multiple existent field codes.",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","10","convertFieldValue","","","","","[7] convert DROP_DOWN field correctly",""
"passed","Tue Jul 23 02:54:34 GMT 2024","Tue Jul 23 02:54:34 GMT 2024","10","getRecords","","","","","can get records",""
"passed","Tue Jul 23 02:54:38 GMT 2024","Tue Jul 23 02:54:38 GMT 2024","18","parseCsv","","","","","should convert csv string with no record to JSON correctly",""
"passed","Tue Jul 23 02:54:36 GMT 2024","Tue Jul 23 02:54:36 GMT 2024","2","validateRecordNumbers","","","","","should not throw error",""
"passed","Tue Jul 23 02:56:40 GMT 2024","Tue Jul 23 02:56:44 GMT 2024","3907","","CliKintoneTest-104 Should return the record contents when exporting the record with --fields specified, including field code of the table.","","","","CliKintoneTest-104 Should return the record contents when exporting the record with --fields specified, including field code of the table.",""
"passed","Tue Jul 23 02:54:38 GMT 2024","Tue Jul 23 02:54:38 GMT 2024","17","parseCsv","","","","","should convert empty csv string to JSON correctly",""
"passed","Tue Jul 23 02:56:58 GMT 2024","Tue Jul 23 02:56:58 GMT 2024","121","","CliKintoneTest-113 Should return the error message when exporting the record with an unsupported character encoding.","","","","CliKintoneTest-113 Should return the error message when exporting the record with an unsupported character encoding.",""
"passed","Tue Jul 23 02:55:11 GMT 2024","Tue Jul 23 02:55:11 GMT 2024","667","","CliKintoneTest-27 Should return the error message when importing records with valid and invalid API Tokens.","","","","CliKintoneTest-27 Should return the error message when importing records with valid and invalid API Tokens.",""
"passed","Tue Jul 23 02:56:38 GMT 2024","Tue Jul 23 02:56:49 GMT 2024","11019","","CliKintoneTest-45 Should upsert the records successfully with --update-key is a Text field.","","","","CliKintoneTest-45 Should upsert the records successfully with --update-key is a Text field.",""
"passed","Tue Jul 23 02:55:13 GMT 2024","Tue Jul 23 02:55:16 GMT 2024","2982","","CliKintoneTest-29 Should return the error message when updating records with an API Token without View/Edit permission.","","","","CliKintoneTest-29 Should return the error message when updating records with an API Token without View/Edit permission.",""
"passed","Tue Jul 23 02:54:36 GMT 2024","Tue Jul 23 02:54:36 GMT 2024","6","deleteAllRecords","","","","","should throw error when API response is error",""
"passed","Tue Jul 23 02:55:09 GMT 2024","Tue Jul 23 02:55:14 GMT 2024","4301","","CliKintoneTest-85 Should return the record contents with two valid API tokens in different apps.","","","","CliKintoneTest-85 Should return the record contents with two valid API tokens in different apps.",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","15","convertFieldValue","","","","","[29] convert STATUS_ASSIGNEE field correctly",""
"passed","Tue Jul 23 02:58:05 GMT 2024","Tue Jul 23 02:58:06 GMT 2024","1297","","CliKintoneTest-77 Should return the error message when importing with empty input for the required field.","","","","CliKintoneTest-77 Should return the error message when importing with empty input for the required field.",""
"passed","Tue Jul 23 02:55:12 GMT 2024","Tue Jul 23 02:55:12 GMT 2024","661","","CliKintoneTest-131 Should return the error message when deleting records with two valid API Token.","","","","CliKintoneTest-131 Should return the error message when deleting records with two valid API Token.",""
"passed","Tue Jul 23 02:58:00 GMT 2024","Tue Jul 23 02:58:05 GMT 2024","4660","","CliKintoneTest-76 Should import the records successfully including the Table field.","","","","CliKintoneTest-76 Should import the records successfully including the Table field.",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","6","convertFieldValue","","","","","[2] convert RADIO_BUTTON field correctly",""
"passed","Tue Jul 23 02:56:15 GMT 2024","Tue Jul 23 02:56:26 GMT 2024","10343","","CliKintoneTest-151 Should delete the records successfully with an encoded utf8 CSV file, and --encoding option is utf8.","","","","CliKintoneTest-151 Should delete the records successfully with an encoded utf8 CSV file, and --encoding option is utf8.",""
"passed","Tue Jul 23 02:54:57 GMT 2024","Tue Jul 23 02:55:02 GMT 2024","4669","","CliKintoneTest-80 Should return the record contents in CSV format with an invalid --api-token and a valid --username/--password.","","","","CliKintoneTest-80 Should return the record contents in CSV format with an invalid --api-token and a valid --username/--password.",""
"passed","Tue Jul 23 02:54:34 GMT 2024","Tue Jul 23 02:54:34 GMT 2024","3","addRecords","","","","","should not fail",""
"passed","Tue Jul 23 02:54:34 GMT 2024","Tue Jul 23 02:54:34 GMT 2024","8","api","","","","","should pass information of client certificate and proxy server to the apiClient correctly",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","7","convertFieldValue","","","","","[5] convert NUMBER field correctly",""
"passed","Tue Jul 23 02:57:26 GMT 2024","Tue Jul 23 02:57:28 GMT 2024","1997","","CliKintoneTest-54 Should return the error message when importing records with --fields specified, including fields within a table.","","","","CliKintoneTest-54 Should return the error message when importing records with --fields specified, including fields within a table.",""
"passed","Tue Jul 23 02:54:38 GMT 2024","Tue Jul 23 02:54:38 GMT 2024","4","logHandler","","","","","should set ""warn"" to the log config level when log-level argument is ""warn""",""
"passed","Tue Jul 23 02:54:51 GMT 2024","Tue Jul 23 02:54:51 GMT 2024","164","","CliKintoneTest-2 Should return the error message when specifying unknown subcommand","","","","CliKintoneTest-2 Should return the error message when specifying unknown subcommand",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","8","convertFieldValue","","","","","[11] convert DROP_DOWN field correctly",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","15","convertFieldValue","","","","","[30] convert SUBTABLE field correctly",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","7","convertFieldValue","","","","","[7] convert RICH_TEXT field correctly",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","11","convertFieldValue","","","","","[12] convert DATE field correctly",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","3","Helper functions","replacePlaceholders","","","","should replace placeholders correctly",""
"passed","Tue Jul 23 02:54:51 GMT 2024","Tue Jul 23 02:54:51 GMT 2024","126","","CliKintoneTest-4 Should return the help description by --help","","","","CliKintoneTest-4 Should return the help description by --help",""
"passed","Tue Jul 23 02:54:36 GMT 2024","Tue Jul 23 02:54:36 GMT 2024","5","validateRecordNumbers","","","","","should throw error when the record number is not exists",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","10","convertFieldValue","","","","","[22] convert USER_SELECT field correctly",""
"passed","Tue Jul 23 02:54:38 GMT 2024","Tue Jul 23 02:54:38 GMT 2024","14","parseCsv","","","","","should convert multiple subtables included csv string to JSON correctly",""
"passed","Tue Jul 23 02:56:34 GMT 2024","Tue Jul 23 02:56:38 GMT 2024","4398","","CliKintoneTest-101 Should return the record contents when exporting the record with --fields specified, including multiple existent field codes.","","","","CliKintoneTest-101 Should return the record contents when exporting the record with --fields specified, including multiple existent field codes.",""
"passed","Tue Jul 23 02:56:07 GMT 2024","Tue Jul 23 02:56:11 GMT 2024","4392","","CliKintoneTest-95 Should return the record contents with valid condition query.","","","","CliKintoneTest-95 Should return the record contents with valid condition query.",""
"passed","Tue Jul 23 02:56:44 GMT 2024","Tue Jul 23 02:56:50 GMT 2024","5858","","CliKintoneTest-168 Should delete the records when specifying ""Y"" in the confirmation prompt.","","","","CliKintoneTest-168 Should delete the records when specifying ""Y"" in the confirmation prompt.",""
"passed","Tue Jul 23 02:56:49 GMT 2024","Tue Jul 23 02:56:53 GMT 2024","4346","","CliKintoneTest-111 Should return the record contents when exporting the record with --encoding option is utf8.","","","","CliKintoneTest-111 Should return the record contents when exporting the record with --encoding option is utf8.",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","11","convertFieldValue","","","","","[25] convert ORGANIZATION_SELECT field correctly",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","9","upsertRecords","","","","","should upsert records correctly with record numbers on local and kintone have app code",""
"passed","Tue Jul 23 02:54:38 GMT 2024","Tue Jul 23 02:54:38 GMT 2024","4","logHandler","","","","","should set ""error"" to the log config level when log-level argument is ""error""",""
"passed","Tue Jul 23 02:57:47 GMT 2024","Tue Jul 23 02:58:00 GMT 2024","12591","","CliKintoneTest-75 Should delete attachments successfully when upserting records without the attachment field.","","","","CliKintoneTest-75 Should delete attachments successfully when upserting records without the attachment field.",""
"passed","Tue Jul 23 02:54:36 GMT 2024","Tue Jul 23 02:54:36 GMT 2024","5","userSelected","","","","","should throw an Error if specified field does not exist",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","28","upsertRecords","","","","","should upsert records correctly with a Record Number field even if the Record Number field isn't specified as update key",""
"passed","Tue Jul 23 02:54:38 GMT 2024","Tue Jul 23 02:54:38 GMT 2024","6","hasAppCode","","","","","should pass (input: 1, appCode: App, result: false)",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","7","convertFieldValue","","","","","[9] convert CHECK_BOX field correctly",""
"passed","Tue Jul 23 02:54:38 GMT 2024","Tue Jul 23 02:54:38 GMT 2024","4","createSchema","","","","","userSelected should create schema correctly with updateKey",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","7","convertFieldValue","","","","","[5] convert RICH_TEXT field correctly",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","3","CliKintoneError","","","","","toStringCause should output the correct sentence. (inner: KintoneAllRecordsError)",""
"passed","Tue Jul 23 02:54:53 GMT 2024","Tue Jul 23 02:54:53 GMT 2024","118","","CliKintoneTest-10 Should return the error message when lacking of --app option","","","","CliKintoneTest-10 Should return the error message when lacking of --app option",""
"skipped","Tue Jul 23 02:54:34 GMT 2024","Tue Jul 23 02:54:34 GMT 2024","20","getRecords","","","","","can download files including special characters in subTable",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","9","convertFieldValue","","","","","[17] convert DATE field correctly",""
"passed","Tue Jul 23 02:55:14 GMT 2024","Tue Jul 23 02:55:19 GMT 2024","4348","","CliKintoneTest-87 Should return the record contents in CSV format with --username and --password options.","","","","CliKintoneTest-87 Should return the record contents in CSV format with --username and --password options.",""
"passed","Tue Jul 23 02:54:38 GMT 2024","Tue Jul 23 02:54:38 GMT 2024","3","stringifier","","","","","should stringify records as csv correctly (iterative)",""
"passed","Tue Jul 23 02:55:18 GMT 2024","Tue Jul 23 02:55:28 GMT 2024","9677","","CliKintoneTest-135 Should delete the specified records successfully by --file-path option.","","","","CliKintoneTest-135 Should delete the specified records successfully by --file-path option.",""
"passed","Tue Jul 23 02:55:06 GMT 2024","Tue Jul 23 02:55:06 GMT 2024","676","","CliKintoneTest-25 Should return the error message when importing records with two valid API Token.","","","","CliKintoneTest-25 Should return the error message when importing records with two valid API Token.",""
"passed","Tue Jul 23 02:54:38 GMT 2024","Tue Jul 23 02:54:38 GMT 2024","22","readFile","","","","","can read sjis encoded csv file correctly",""
"passed","Tue Jul 23 02:55:39 GMT 2024","Tue Jul 23 02:55:42 GMT 2024","2975","","CliKintoneTest-140 Should return the error message when deleting records with non-existent record number.","","","","CliKintoneTest-140 Should return the error message when deleting records with non-existent record number.",""
"passed","Tue Jul 23 02:55:02 GMT 2024","Tue Jul 23 02:55:06 GMT 2024","4345","","CliKintoneTest-81 Should return the record contents in CSV format.","","","","CliKintoneTest-81 Should return the record contents in CSV format.",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","9","getAllRecords","","","","","should pass parameters to the apiClient correctly (without orderBy)",""
"passed","Tue Jul 23 02:55:35 GMT 2024","Tue Jul 23 02:55:42 GMT 2024","7259","","CliKintoneTest-91 Should return the record contents and download attachments successfully to a non-existent directory.","","","","CliKintoneTest-91 Should return the record contents and download attachments successfully to a non-existent directory.",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","6","withIndexIterator","","","","","can iterate from data source with index",""
"passed","Tue Jul 23 02:54:53 GMT 2024","Tue Jul 23 02:54:53 GMT 2024","114","","CliKintoneTest-9 Should return the error message when the baseUrl is not URL format","","","","CliKintoneTest-9 Should return the error message when the baseUrl is not URL format",""
