"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","cli-kintone common test cases","","5","0","12","0","0"
"Unit tests","","","0","0","221","0","0"
"","cli-kintone import command","","2","0","42","0","0"
"","cli-kintone export command","","4","0","30","0","0"
"","","","0","0","0","2","0"
"","cli-kintone delete command","","2","0","30","0","0"
