"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 20 15:34:11 GMT 2024","Thu Jun 20 15:34:11 GMT 2024","2","ProgressLogger","","","","","should show progress logs correctly",""
"passed","Thu Jun 20 15:33:54 GMT 2024","Thu Jun 20 15:33:54 GMT 2024","127","","CliKintoneTest-8 Should return the error message when the protocol of baseUrl is not HTTPS","","","","CliKintoneTest-8 Should return the error message when the protocol of baseUrl is not HTTPS",""
"passed","Thu Jun 20 15:34:13 GMT 2024","Thu Jun 20 15:34:13 GMT 2024","3","logHandler","","","","","should set ""debug"" to the log config level when verbose argument is true",""
"passed","Thu Jun 20 15:34:09 GMT 2024","Thu Jun 20 15:34:09 GMT 2024","9","upsertRecords","","","","","should upsert records correctly with number",""
"passed","Thu Jun 20 15:35:07 GMT 2024","Thu Jun 20 15:35:11 GMT 2024","4079","","CliKintoneTest-96 Should return the error message when exporting the record with invalid condition query.","","","","CliKintoneTest-96 Should return the error message when exporting the record with invalid condition query.",""
"passed","Thu Jun 20 15:35:50 GMT 2024","Thu Jun 20 15:35:50 GMT 2024","121","","CliKintoneTest-113 Should return the error message when exporting the record with an unsupported character encoding.","","","","CliKintoneTest-113 Should return the error message when exporting the record with an unsupported character encoding.",""
"passed","Thu Jun 20 15:34:06 GMT 2024","Thu Jun 20 15:34:07 GMT 2024","630","","CliKintoneTest-82 Should return the error message when exporting the record with a draft API Token.","","","","CliKintoneTest-82 Should return the error message when exporting the record with a draft API Token.",""
"passed","Thu Jun 20 15:35:23 GMT 2024","Thu Jun 20 15:35:34 GMT 2024","10295","","CliKintoneTest-44 Should upsert the records successfully with --update-key, a Record_number field.","","","","CliKintoneTest-44 Should upsert the records successfully with --update-key, a Record_number field.",""
"passed","Thu Jun 20 15:34:13 GMT 2024","Thu Jun 20 15:34:13 GMT 2024","5","hasAppCode","","","","","should pass (input: App-123, appCode: App, result: true)",""
"passed","Thu Jun 20 15:34:10 GMT 2024","Thu Jun 20 15:34:10 GMT 2024","2","fieldInSubtableReader","","","","","empty field value",""
"passed","Thu Jun 20 15:34:11 GMT 2024","Thu Jun 20 15:34:11 GMT 2024","647","","CliKintoneTest-27 Should return the error message when importing records with valid and invalid API Tokens.","","","","CliKintoneTest-27 Should return the error message when importing records with valid and invalid API Tokens.",""
"passed","Thu Jun 20 15:34:28 GMT 2024","Thu Jun 20 15:34:37 GMT 2024","9718","","CliKintoneTest-139 Should delete the records of the app in which the Record_number field code has been changed.","","","","CliKintoneTest-139 Should delete the records of the app in which the Record_number field code has been changed.",""
"passed","Thu Jun 20 15:34:10 GMT 2024","Thu Jun 20 15:34:10 GMT 2024","7","convertFieldValue","","","","","[7] convert DROP_DOWN field correctly",""
"passed","Thu Jun 20 15:34:48 GMT 2024","Thu Jun 20 15:34:56 GMT 2024","7893","","CliKintoneTest-93 Should return the record contents and download attachments successfully with attachments in a record.","","","","CliKintoneTest-93 Should return the record contents and download attachments successfully with attachments in a record.",""
