"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Unit tests","","","0","0","208","0","0"
"","cli-kintone delete command","","0","0","1","0","0"
"","","","0","0","0","2","0"
