"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","2","CliKintoneError","","","","","toStringCause should output the correct sentence. (inner: CliKintoneError)",""
"passed","Thu Oct 24 04:15:56 GMT 2024","Thu Oct 24 04:16:00 GMT 2024","3776","","CliKintoneTest-55 Should import the records successfully with --fields specified, including field code of the table.","","","","CliKintoneTest-55 Should import the records successfully with --fields specified, including field code of the table.",""
"passed","Thu Oct 24 04:12:22 GMT 2024","Thu Oct 24 04:12:22 GMT 2024","16","getRecords","","","","","should not be failed",""
"passed","Thu Oct 24 04:12:27 GMT 2024","Thu Oct 24 04:12:27 GMT 2024","1","readFile","","","","","can read utf8 encoded csv file correctly",""
"passed","Thu Oct 24 04:12:24 GMT 2024","Thu Oct 24 04:12:24 GMT 2024","3","buildHeaderFields","","","","","should generate fieldCode array correctly (data without subtable)",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","0","groupByKeyChunked","","","","","can separate date source by group and chunked",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","1","convertFieldValue","","","","","[4] convert SINGLE_LINE_TEXT field correctly",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","1","withIndexIterator","","","","","can iterate from data source with index",""
"passed","Thu Oct 24 04:13:16 GMT 2024","Thu Oct 24 04:13:20 GMT 2024","4091","","CliKintoneTest-126 Should return the error message with an API Token without Delete permission.","","","","CliKintoneTest-126 Should return the error message with an API Token without Delete permission.",""
"passed","Thu Oct 24 04:12:24 GMT 2024","Thu Oct 24 04:12:24 GMT 2024","1","validateRecordNumbers","","","","","should throw error when the record number is duplicated",""
"passed","Thu Oct 24 04:12:27 GMT 2024","Thu Oct 24 04:12:27 GMT 2024","1","createSchema","","","","","userSelected should create schema correctly",""
"passed","Thu Oct 24 04:12:24 GMT 2024","Thu Oct 24 04:12:24 GMT 2024","2","validateRecordNumbers","","","","","should throw error when the record number is invalid",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","1","upsertRecords","","","","","should throw error when the field in table specified in schema does not exist on input record",""
"passed","Thu Oct 24 04:13:19 GMT 2024","Thu Oct 24 04:13:20 GMT 2024","609","","CliKintoneTest-14 Should return the error message when no authorized information","","","","CliKintoneTest-14 Should return the error message when no authorized information",""
"passed","Thu Oct 24 04:12:22 GMT 2024","Thu Oct 24 04:12:22 GMT 2024","8","getRecords","","","","","can download files to a specified directory",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","2","upsertRecords","","","","","should upsert records correctly with a Record Number field even if the Record Number field isn't specified as update key",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","1","CliKintoneError","","","","","toStringCause should output the correct sentence. (inner: KintoneRestAPIError with GAIA_IL23)",""
"passed","Thu Oct 24 04:12:24 GMT 2024","Thu Oct 24 04:12:24 GMT 2024","2","fieldInSubtableReader","","","","","all fields have valid value",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","1","convertFieldValue","","","","","[8] convert CALC field correctly",""
"passed","Thu Oct 24 04:12:25 GMT 2024","Thu Oct 24 04:12:25 GMT 2024","1","csvStringifier","","","","","should convert kintone records to csv string correctly when FILE included and with attachmentsDir option",""
"passed","Thu Oct 24 04:13:22 GMT 2024","Thu Oct 24 04:13:26 GMT 2024","4384","","CliKintoneTest-21 Should import records to app in space successfully.","","","","CliKintoneTest-21 Should import records to app in space successfully.",""
"passed","Thu Oct 24 04:13:18 GMT 2024","Thu Oct 24 04:13:18 GMT 2024","104","","CliKintoneTest-9 Should return the error message when the baseUrl is not URL format","","","","CliKintoneTest-9 Should return the error message when the baseUrl is not URL format",""
"passed","Thu Oct 24 04:13:54 GMT 2024","Thu Oct 24 04:14:04 GMT 2024","10410","","CliKintoneTest-139 Should delete the records of the app in which the Record_number field code has been changed.","","","","CliKintoneTest-139 Should delete the records of the app in which the Record_number field code has been changed.",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","1","convertFieldValue","","","","","[22] convert USER_SELECT field correctly",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","1","convertFieldValue","","","","","[3] convert MULTI_LINE_TEXT field correctly",""
"passed","Thu Oct 24 04:13:32 GMT 2024","Thu Oct 24 04:13:32 GMT 2024","628","","CliKintoneTest-82 Should return the error message when exporting the record with a draft API Token.","","","","CliKintoneTest-82 Should return the error message when exporting the record with a draft API Token.",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","1","convertFieldValue","","","","","[28] convert STATUS field correctly",""
"passed","Thu Oct 24 04:14:09 GMT 2024","Thu Oct 24 04:14:20 GMT 2024","10739","","CliKintoneTest-37 Should import the records successfully with multiple attachments on a field.","","","","CliKintoneTest-37 Should import the records successfully with multiple attachments on a field.",""
"passed","Thu Oct 24 04:12:22 GMT 2024","Thu Oct 24 04:12:22 GMT 2024","2","getRecords","","","","","can get records",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","0","convertFieldValue","","","","","[18] convert FILE field correctly",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","0","convertFieldValue","","","","","[23] convert ORGANIZATION_SELECT field correctly",""
"skipped","Thu Oct 24 04:12:22 GMT 2024","","","getRecords","","","","","can download files including special characters in subTable",""
"skipped","Thu Oct 24 04:12:22 GMT 2024","","","getRecords","","","","","can download files including special characters",""
"passed","Thu Oct 24 04:12:26 GMT 2024","Thu Oct 24 04:12:26 GMT 2024","1","parseCsv","","","","","should convert csv string to JSON correctly (LF)",""
"passed","Thu Oct 24 04:12:24 GMT 2024","Thu Oct 24 04:12:24 GMT 2024","1","Record command","Valid parameters","","","","should return the export query correctly",""
"passed","Thu Oct 24 04:13:19 GMT 2024","Thu Oct 24 04:13:19 GMT 2024","779","","CliKintoneTest-13 Should return the error message when missing the --guest-space-id option and the app is in a guest space.","","","","CliKintoneTest-13 Should return the error message when missing the --guest-space-id option and the app is in a guest space.",""
"passed","Thu Oct 24 04:12:27 GMT 2024","Thu Oct 24 04:12:27 GMT 2024","1","hasAppCode","","","","","should pass (input: App-123, appCode: App, result: true)",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","1","upsertRecords","","","","","should throw error because the record numbers are mixed with those with and without app code",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","1","convertFieldValue","","","","","[2] convert RADIO_BUTTON field correctly",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","2","StandardLogger","","","","","should display TRACE message when calling logger with ""trace"" level",""
"passed","Thu Oct 24 04:12:24 GMT 2024","Thu Oct 24 04:12:24 GMT 2024","1","buildHeaderFields","","","","","should generate fieldCode array correctly (data with subtable)",""
"passed","Thu Oct 24 04:13:36 GMT 2024","Thu Oct 24 04:13:37 GMT 2024","623","","CliKintoneTest-130 Should return the error message when deleting the record with a draft API Token.","","","","CliKintoneTest-130 Should return the error message when deleting the record with a draft API Token.",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","2","chunked","","","","","can separate data source by chunk",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","0","convertFieldValue","","","","","[8] convert LINK field correctly",""
"passed","Thu Oct 24 04:12:24 GMT 2024","Thu Oct 24 04:12:24 GMT 2024","7","Helper functions","validateRequireColumnsInTable","","","","should throw error when required columns are not found",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","0","StandardLogger","","","","","should not display any message when calling logger with 'none' level",""
"passed","Thu Oct 24 04:14:45 GMT 2024","Thu Oct 24 04:14:54 GMT 2024","9282","","CliKintoneTest-40 Should import the records successfully with .txt attachment.","","","","CliKintoneTest-40 Should import the records successfully with .txt attachment.",""
"passed","Thu Oct 24 04:12:26 GMT 2024","Thu Oct 24 04:12:26 GMT 2024","1","File Generator functions","","","","","should throw error when file path is invalid",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","1","convertFieldValue","","","","","[1] convert SINGLE_LINE_TEXT field correctly",""
"passed","Thu Oct 24 04:12:22 GMT 2024","Thu Oct 24 04:12:22 GMT 2024","3","getRecords","","","","","should throw error when API response is error",""
"passed","Thu Oct 24 04:12:23 GMT 2024","Thu Oct 24 04:12:23 GMT 2024","1","convertFieldValue","","","","","[11] convert DATETIME field correctly",""
"passed","Thu Oct 24 04:13:59 GMT 2024","Thu Oct 24 04:14:08 GMT 2024","9720","","CliKintoneTest-35 Should import the records successfully with attachment.","","","","CliKintoneTest-35 Should import the records successfully with attachment.",""
