"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Unit tests","","","0","0","221","0","0"
"","cli-kintone import command","","2","0","42","0","0"
"","cli-kintone common test cases","","0","0","17","0","0"
"","cli-kintone export command","","4","0","30","0","0"
"","cli-kintone delete command","","2","0","30","0","0"
"","","","0","0","0","2","0"
