"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Unit tests","0","0","208","0","0"
"","cli-kintone common test cases","","0","0","17","0","0"
"","","","0","0","0","2","0"
